key,enabled,identity,password,username
user-account-paciente-01,true,"UserIdentity{name: 'Lucia', surname: 'Brenes', email: 'lucia@acme.com'}",paciente1,paciente1
user-account-paciente-02,true,"UserIdentity{name: 'Maria', surname: 'Gomez', email: 'maria@acme.com'}",paciente2,paciente2
user-account-paciente-03,true,"UserIdentity{name: 'Juan', surname: 'Martinez', email: 'juan@acme.com'}",paciente3,paciente3
user-account-paciente-04,true,"UserIdentity{name: 'Pedro', surname: 'Lopez', email: 'pedro@acme.com'}",paciente4,paciente4
user-account-paciente-05,true,"UserIdentity{name: 'Ana', surname: 'Perez', email: 'ana@acme.com'}",paciente5,paciente5
user-account-paciente-06,true,"UserIdentity{name: 'Carlos', surname: 'Ramirez', email: 'carlos@acme.com'}",paciente6,paciente6
user-account-paciente-07,true,"UserIdentity{name: 'Laura', surname: 'Diaz', email: 'laura@acme.com'}",paciente7,paciente7
user-account-paciente-08,true,"UserIdentity{name: 'Javier', surname: 'Hernandez', email: 'javier@acme.com'}",paciente8,paciente8
user-account-paciente-09,true,"UserIdentity{name: 'Beatriz', surname: 'Gonzalez', email: 'beatriz@acme.com'}",paciente9,paciente9
user-account-paciente-10,true,"UserIdentity{name: 'David', surname: 'Sanchez', email: 'david@acme.com'}",paciente10,paciente10
user-account-paciente-11,true,"UserIdentity{name: 'María', surname: 'Lopez', email: 'maria.lopez@acme.com'}",paciente11,paciente11
user-account-paciente-12,true,"UserIdentity{name: 'Ricardo', surname: 'Molina', email: 'ricardo.molina@acme.com'}",paciente12,paciente12
user-account-paciente-13,true,"UserIdentity{name: 'Elena', surname: 'Fernandez', email: 'elena.fernandez@acme.com'}",paciente13,paciente13
user-account-paciente-14,true,"UserIdentity{name: 'Antonio', surname: 'Martinez', email: 'antonio.martinez@acme.com'}",paciente14,paciente14
user-account-paciente-15,true,"UserIdentity{name: 'Sofia', surname: 'Alvarez', email: 'sofia.alvarez@acme.com'}",paciente15,paciente15
user-account-paciente-16,true,"UserIdentity{name: 'Raul', surname: 'Gomez', email: 'raul.gomez@acme.com'}",paciente16,paciente16
user-account-paciente-17,true,"UserIdentity{name: 'Isabel', surname: 'Romero', email: 'isabel.romero@acme.com'}",paciente17,paciente17
user-account-paciente-18,true,"UserIdentity{name: 'Rafael', surname: 'Castro', email: 'rafael.castro@acme.com'}",paciente18,paciente18
user-account-paciente-19,true,"UserIdentity{name: 'Marta', surname: 'Vazquez', email: 'marta.vazquez@acme.com'}",paciente19,paciente19
user-account-paciente-20,true,"UserIdentity{name: 'Ricardo', surname: 'Rodriguez', email: 'ricardo.rodriguez@acme.com'}",paciente20,paciente20
user-account-oncologo-01,true,"UserIdentity{name: 'Maria', surname: 'Gomez', email: 'maria@acme.com'}",oncologo1,oncologo1
